method_name,method_class,#q<0.5,log-likeli,RMS,bias,cross_year0.5,cross_year1.0,#yrs,,,,100#q<0.5,100log-l
GWI_tot_CGWL,44/3_Human_Induced,0,2.221573165,0.026317727,-1.11E-05,1986.291667,2009.291667,75,,0,,0,2.221573165
FaIR_nonat_unB,44/1_ERF_FaIR,0,2.201163168,0.027444566,-0.008918409,1985.958333,2010.875,93,,0,,0,2.201163168
FaIR_nonat,44/1_ERF_FaIR,0,2.198418911,0.027473031,-0.010697027,1985.958333,2011.291667,93,,0,,0,2.198418911
EBMKF_ta2,44/2_Kalman,0,2.146149569,0.027687437,4.86E-05,1985.125,2010.208333,174,,0.103823198,,0,2.042326371
FaIR_comb_unB,44/1_ERF_FaIR,0,2.130380642,0.028536847,-0.014089544,1986.208333,2011.291667,89,,0,,0,2.130380642
EBMKF_ta,44/2_Kalman,0,2.075452038,0.029420377,0.006941452,1982.958333,2009.208333,174,,0.116929699,,0,1.958522339
FaIR_anthro_unB,44/1_ERF_FaIR,8,2.118519056,0.029514083,-0.011950498,1985.125,2011.041667,93,,0,,8,2.118519056
FaIR_anthro,44/1_ERF_FaIR,0,2.095941287,0.030143441,-0.015511762,1985.125,2011.958333,93,,0,,0,2.095941287
EBMKF_ta4,44/2_Kalman,0,2.05612627,0.030241117,-0.007931585,1986.291667,2010.875,174,,0.067336382,,0,1.988789888
CGWL10y_forec,45/44_EarthModel_CGWL,0,1.957086901,0.033298271,-0.019457232,1987.541667,2009.958333,64,,0,,0,1.957086901
CGWL10y_for_halfU,45/44_EarthModel_CGWL,4,1.988316074,0.033298271,-0.019457232,1987.541667,2009.958333,64,,0,,4,1.988316074
GWI_anthro_AR6,44/3_Human_Induced,0,1.956194094,0.034172601,-3.32E-05,1986.291667,2013.041667,75,,0,,0,1.956194094
TheilSen_h7075,43/2_LT_Fits,0,2.048084166,0.036571444,0.004036613,1980.708333,2012.375,90,,0,,0,2.048084166
hinge75meet,43/2_LT_Fits,1,1.892524917,0.037215453,0.004917514,1980.208333,2010.375,90,,0,,1,1.892524917
CGWL10y_pUKCP,45/44_EarthModel_CGWL,86,-0.073872402,0.039567313,0.007853895,1987.041667,2009.791667,165,,2.166455511,,39,2.092583109
GWI_anthro_CGWL,44/3_Human_Induced,0,1.815445444,0.040110426,4.36E-05,1983.291667,2010.875,75,,0,,0,1.815445444
GWI_anthro,44/3_Human_Induced,0,1.807228365,0.041066542,-5.35E-06,1983.958333,2011.541667,75,,0,,0,1.807228365
CGWL10y_sfUKCP,45/44_EarthModel_CGWL,3,1.758979421,0.041134636,0.001428528,1985.708333,2009.625,155,,0.025197958,,2,1.733781464
CGWL10y_sUKCP,45/44_EarthModel_CGWL,0,1.726406797,0.042710307,0.000160096,1985.625,2009.958333,155,,0.037215246,,0,1.689191551
OLS_hinge75,43/2_LT_Fits,2,1.982196922,0.043015155,0.007431213,1979.541667,2011.041667,90,,0,,2,1.982196922
GWI_anthro_SR15,44/3_Human_Induced,0,1.747198585,0.043182227,1.29E-05,1985.375,2011.458333,75,,0,,0,1.747198585
CGWL_10y_IPCC,45/44_EarthModel_CGWL,0,1.67744762,0.04380012,-0.000211494,1983.208333,2009.708333,166,,0.069772618,,0,1.747220239
Kal_flexLin_ocn,43/5_Kalman,0,1.687128321,0.044235201,-0.004078251,1986.875,2011.791667,175,,0.067823075,,0,1.619305246
Kal_flexLin,43/5_Kalman,0,1.610058866,0.048133605,-0.009391398,1986.541667,2012.791667,175,,0.014261499,,0,1.595797367
removeGreensfx,43/6_Remove_IV,0,1.590199194,0.049333014,-0.001703458,1980.625,2009.875,174,,0.004886709,,0,1.585312484
Kalman_RW_ocn,43/5_Kalman,0,1.577467015,0.0496874,-0.021708912,1987.375,2014.208333,175,,0.070858606,,0,1.506608409
lowess1dt30wnc,43/3_ST_Fits,2,1.462855936,0.050526246,-0.010719276,1985.541667,2012.041667,172,,0.117050316,,2,1.579906252
lowess1dt36wnc,43/3_ST_Fits,0,1.428966967,0.051039528,-0.013187133,1986.625,2011.708333,172,,0.100781237,,0,1.529748203
lowess1dt26wnc,43/3_ST_Fits,1,1.430698175,0.052384257,-0.00924294,1982.791667,2012.625,172,,0.120280482,,1,1.550978657
Kalman_RW,43/5_Kalman,0,1.517858101,0.052772116,-0.022641372,1987.291667,2014.541667,175,,0.067050492,,0,1.450807609
removeMEI_volc_cons,43/6_Remove_IV,0,1.48827594,0.053991066,-0.012607328,1980.541667,2008.708333,53,,0,,0,1.48827594
FaIR_all_unB,44/1_ERF_FaIR,2,1.458738576,0.055537329,-0.001789349,1981.291667,2010.875,93,,0,,2,1.458738576
butterworth,43/2_LT_Fits,3,1.236706577,0.055866626,-0.034505127,1982.791667,2013.791667,76,,0,,3,1.236706577
etrend30y,43/3_ST_Fits,0,1.438405738,0.055893084,-0.011138305,1987.458333,2011.125,146,,0.042557765,,0,1.395847973
lag5y,43/1_Run_Means,0,1.344420196,0.056289359,-0.018023557,1982.541667,2014.875,171,,0.011475784,,0,1.332944413
lowess1dt20wAR,43/3_ST_Fits,2,1.273095042,0.057446705,-0.007513793,1982.125,2013.875,172,,0.153199524,,2,1.426294566
lowess1dt20wnc,43/3_ST_Fits,2,1.304262304,0.057446705,-0.007513793,1982.125,2013.875,172,,0.11186287,,2,1.416125175
GAM_AR1,43/4_GAM_AR1,17,1.241014903,0.058100053,-0.012010381,1986.375,2012.625,146,,0.203215816,,12,1.444230719
lowess1dt20wARMA,43/3_ST_Fits,2,1.317895753,0.058387884,-0.004079917,1982.125,2013.875,150,,0.108986285,,2,1.426882038
etrend15y,43/3_ST_Fits,2,1.372598913,0.058839839,-0.006128407,1982.291667,2012.958333,161,,0.025017197,,2,1.397616109
GWI_tot_SR15,44/3_Human_Induced,0,1.379959607,0.059448083,4.81E-05,1986.458333,2006.208333,75,,0,,0,1.379959607
lag10y,43/1_Run_Means,0,1.22262928,0.060869234,-0.032630849,1987.625,2015.791667,166,,0.114665325,,0,1.107963955
GWI_tot,44/3_Human_Induced,2,1.403024194,0.061552301,1.96E-05,1986.458333,2009.875,75,,0,,2,1.403024194
GWI_tot_AR6,44/3_Human_Induced,0,1.357645118,0.06182832,4.74E-05,1986.791667,2012.041667,75,,0,,0,1.357645118
FaIR_all,44/1_ERF_FaIR,2,1.332316193,0.063709529,0.010083573,1981.291667,2007.625,93,,0,,2,1.332316193
opt_clim_norm,43/3_ST_Fits,12,0.983664162,0.064683364,-0.021120966,1980.791667,2013.875,175,,0.264196135,,12,0.719468026
etrend30y_3CS,43/3_ST_Fits,0,1.264026496,0.064744948,-0.020465307,1987.458333,2015.458333,146,,0.077645886,,0,1.18638061
lowess1dg20wnc,43/3_ST_Fits,0,1.168965391,0.064903316,-0.023856266,1989.208333,2012.791667,172,,0.047428401,,0,1.216393792
GAM_AR0,43/4_GAM_AR1,12,1.322872279,0.065212963,-0.006114778,1982.875,2012.875,146,,0.149411835,,7,1.472284114
lfca_TAS,43/6_Remove_IV,0,1.265615119,0.068309834,-0.046478584,1986.625,2013.791667,48,,0,,0,1.265615119
GWI_tot_orig,44/3_Human_Induced,0,1.260191538,0.068310431,9.67E-06,1980.958333,2008.375,74,,0,,0,1.260191538
lowess2dt30wnc,43/3_ST_Fits,0,1.172051071,0.068758377,-0.004791995,1980.458333,2014.208333,172,,0.126267431,,0,1.298318502
KCC_human,44/3_Human_Induced,30,1.000023576,0.072000766,-1.89E-05,1983.875,2009.708333,124,,0.219843635,,16,1.219867211
eROF_tot,44/3_Human_Induced,25,1.030520465,0.073825853,-4.18E-05,1987.208333,2007.958333,175,,0.214602727,,11,1.245123193
lowess1dt10wnc,43/3_ST_Fits,0,0.987659453,0.074211054,-0.005801505,1979.958333,2014.041667,172,,0.087982059,,0,1.075641513
lowess2dt20wnc,43/3_ST_Fits,1,1.003392797,0.076274974,-0.005553025,1980.041667,2014.125,171,,0.104643698,,1,1.108036495
Bayes_seq_CP,43/2_LT_Fits,0,1.099586335,0.076378426,-0.031158887,1989.291667,2012.708333,126,,0.052079337,,0,1.047506998
eROF_anthro,44/3_Human_Induced,23,0.914653385,0.077940868,-3.98E-05,1987.125,2007.958333,175,,0.193584003,,11,1.108237388
cubic_spline,43/4_GAM_AR1,0,1.113883772,0.079353029,-0.004663432,1979.958333,2015.125,145,,0.099686893,,0,1.213570665
GWI_anthro_orig,44/3_Human_Induced,0,1.126434592,0.080485695,2.10E-05,1982.375,2008.708333,74,,0,,0,1.126434592
removeMEI_cons,43/6_Remove_IV,4,0.62959672,0.081882585,0.005241001,1979.875,2008.708333,152,,0.020173565,,4,0.649770285
OLS_refit_CO2forc,44/0_Linear,59,-3.84228771,0.086419116,-0.018111385,1985.541667,2012.208333,175,,4.794855578,,28,0.952567867
offset11y,43/1_Run_Means,62,0.998702065,0.092001054,0.074496336,1982.625,2009.875,165,,0.201341736,,27,1.200043801
min_month_proj,43/3_ST_Fits,1,1.025959667,0.094583027,0.021132734,1979.708333,2009.541667,156,,0.202394403,,1,1.22835407
KCC_all,44/3_Human_Induced,8,0.974026184,0.097462797,3.22E-05,1988.041667,2010.875,124,,0.141166862,,8,1.115193047
raw1y,43/1_Run_Means,1,0.898280123,0.097981694,-0.005376724,1979.458333,2009.541667,175,,0.030291072,,0,0.928571195
lfca_SST,43/6_Remove_IV,0,0.926461991,0.097997652,-0.052278895,1989.208333,2014.708333,77,,0,,0,0.926461991
quartic,43/2_LT_Fits,0,0.99181221,0.099062298,-0.065065473,1989.541667,2009.458333,75,,0,,0,0.99181221
cons_hArrh_CO2forc,44/0_Linear,89,-85.49280739,0.104260625,0.075242704,1978.375,2009.125,175,,86.51122737,,34,1.018419983
removeMEI_volc_refit,43/6_Remove_IV,0,0.803881728,0.111954922,0.009087701,1985.458333,2006.625,45,,0,,0,0.803881728
OLS_refit,43/2_LT_Fits,0,0.56120748,0.134220704,-0.031253101,1989.708333,2022.541667,75,,0,,0,0.56120748
