method_name,method_class,RMS,log-likeli,#q<0.5,bias,cross_year0.5,cross_year1.0,#yrs,,,,100log-l,100#q<0.5
GWI_tot_CGWL,44/3_Human_Induced,0.02632,2.226,4,-0.00001,1986.4,2009.3,75,,,,2.226328608,4
FaIR_nonat_unB,44/1_ERF_FaIR,0.02744,2.212,0,-0.00892,1985.9,2010.9,93,,,,2.211780207,0
FaIR_nonat,44/1_ERF_FaIR,0.02747,2.204,0,-0.01070,1985.9,2011.3,93,,,,2.204230016,0
EBMKF_ta2,44/2_Kalman,0.02769,2.146,0,0.00005,1985.1,2010.2,174,,,,2.042326371,0
FaIR_comb_unB,44/1_ERF_FaIR,0.02854,2.132,1,-0.01409,1986.2,2011.3,89,,,,2.132408855,1
EBMKF_ta,44/2_Kalman,0.02942,2.075,0,0.00694,1983.0,2009.2,174,,,,1.958522339,0
FaIR_anthro_unB,44/1_ERF_FaIR,0.02951,2.119,0,-0.01195,1985.1,2011.0,93,,,,2.118630109,0
FaIR_anthro,44/1_ERF_FaIR,0.03014,2.097,0,-0.01551,1985.1,2011.9,93,,,,2.097148438,0
EBMKF_ta4,44/2_Kalman,0.03024,2.056,0,-0.00793,1986.3,2010.9,174,,,,1.988789888,0
CGWL10y_forec,45/44_EarthModel_CGWL,0.03330,1.970,2,-0.01946,1987.6,2010.0,64,,,,1.970146868,2
CGWL10y_for_halfU,45/44_EarthModel_CGWL,0.03330,2.030,1,-0.01946,1987.6,2010.0,64,,,,2.029690915,1
GWI_anthro_AR6,44/3_Human_Induced,0.03417,1.952,2,-0.00003,1986.3,2013.0,75,,,,1.9521012,1
TheilSen_h7075,43/2_LT_Fits,0.03657,2.048,0,0.00404,1980.7,2012.4,90,,,,2.048084166,0
hinge75meet,43/2_LT_Fits,0.03722,1.893,1,0.00492,1980.2,2010.4,90,,,,1.892524917,1
CGWL10y_pUKCP,45/44_EarthModel_CGWL,0.03957,-4.105,64,0.00785,1987.0,2009.9,165,,,,2.093542275,24
GWI_anthro_CGWL,44/3_Human_Induced,0.04011,1.825,8,0.00004,1983.5,2010.9,75,,,,1.825434514,8
GWI_anthro,44/3_Human_Induced,0.04107,1.814,8,-0.00001,1984.1,2011.5,75,,,,1.814291846,8
CGWL10y_sfUKCP,45/44_EarthModel_CGWL,0.04113,1.742,7,0.00143,1985.7,2009.6,155,,,,1.729711535,4
CGWL10y_sUKCP,45/44_EarthModel_CGWL,0.04271,1.746,4,0.00016,1985.5,2010.1,155,,,,1.710607505,4
OLS_hinge75,43/2_LT_Fits,0.04302,1.982,2,0.00743,1979.5,2011.0,90,,,,1.982196922,2
GWI_anthro_SR15,44/3_Human_Induced,0.04318,1.745,5,0.00001,1985.5,2011.4,75,,,,1.74496337,5
CGWL_10y_IPCC,45/44_EarthModel_CGWL,0.04380,1.677,0,-0.00021,1983.2,2009.7,166,,,,1.747220239,0
Kal_flexLin_ocn,43/5_Kalman,0.04424,1.687,0,-0.00408,1986.9,2011.8,175,,,,1.619305246,0
Kal_flexLin,43/5_Kalman,0.04813,1.610,0,-0.00939,1986.5,2012.8,175,,,,1.595797367,0
removeGreensfx,43/6_Remove_IV,0.04933,1.590,0,-0.00170,1980.6,2009.9,174,,,,1.585312484,0
Kalman_RW_ocn,43/5_Kalman,0.04969,1.577,0,-0.02171,1987.4,2014.2,175,,,,1.506608409,0
lowess1dt30wnc,43/3_ST_Fits,0.05053,1.463,2,-0.01072,1985.5,2012.0,172,,,,1.579906252,2
lowess1dt36wnc,43/3_ST_Fits,0.05104,1.429,0,-0.01319,1986.6,2011.7,172,,,,1.529748203,0
lowess1dt26wnc,43/3_ST_Fits,0.05238,1.431,1,-0.00924,1982.8,2012.6,172,,,,1.550978657,1
Kalman_RW,43/5_Kalman,0.05277,1.518,0,-0.02264,1987.3,2014.5,175,,,,1.450807609,0
removeMEI_volc_cons,43/6_Remove_IV,0.05399,1.488,0,-0.01261,1980.5,2008.7,53,,,,1.48827594,0
FaIR_all_unB,44/1_ERF_FaIR,0.05554,1.423,3,-0.00179,1981.2,2010.9,93,,,,1.42291052,3
butterworth,43/2_LT_Fits,0.05587,1.237,3,-0.03451,1982.8,2013.8,76,,,,1.236706577,3
etrend30y,43/3_ST_Fits,0.05589,1.438,0,-0.01114,1987.5,2011.1,146,,,,1.395847973,0
lag5y,43/1_Run_Means,0.05629,1.344,0,-0.01802,1982.5,2014.9,171,,,,1.332944413,0
lowess1dt20wAR,43/3_ST_Fits,0.05745,1.273,2,-0.00751,1982.1,2013.9,172,,,,1.426294566,2
lowess1dt20wnc,43/3_ST_Fits,0.05745,1.304,2,-0.00751,1982.1,2013.9,172,,,,1.416125175,2
GAM_AR1,43/4_GAM_AR1,0.05810,1.241,17,-0.01201,1986.4,2012.6,146,,,,1.444230719,12
lowess1dt20wARMA,43/3_ST_Fits,0.05839,1.318,2,-0.00408,1982.1,2013.9,150,,,,1.426882038,2
etrend15y,43/3_ST_Fits,0.05884,1.373,2,-0.00613,1982.3,2013.0,161,,,,1.397616109,2
GWI_tot_SR15,44/3_Human_Induced,0.05945,1.378,0,0.00005,1986.6,2006.1,75,,,,1.378263788,0
lag10y,43/1_Run_Means,0.06087,1.223,0,-0.03263,1987.6,2015.8,166,,,,1.107963955,0
GWI_tot,44/3_Human_Induced,0.06155,1.394,6,0.00002,1986.5,2009.9,75,,,,1.394360236,6
GWI_tot_AR6,44/3_Human_Induced,0.06183,1.345,2,0.00005,1987.0,2011.9,75,,,,1.34537235,2
FaIR_all,44/1_ERF_FaIR,0.06371,1.322,4,0.01008,1981.2,2007.7,93,,,,1.322423645,4
opt_clim_norm,43/3_ST_Fits,0.06468,0.984,12,-0.02112,1980.8,2013.9,175,,,,0.719468026,12
etrend30y_3CS,43/3_ST_Fits,0.06474,1.264,0,-0.02047,1987.5,2015.5,146,,,,1.18638061,0
lowess1dg20wnc,43/3_ST_Fits,0.06490,1.169,0,-0.02386,1989.2,2012.8,172,,,,1.216393792,0
GAM_AR0,43/4_GAM_AR1,0.06521,1.323,12,-0.00611,1982.9,2012.9,146,,,,1.472284114,7
lfca_TAS,43/6_Remove_IV,0.06831,1.266,0,-0.04648,1986.6,2013.8,48,,,,1.265615119,0
GWI_tot_orig,44/3_Human_Induced,0.06831,1.245,7,0.00001,1984.8,2008.4,74,,,,1.244517832,7
lowess2dt30wnc,43/3_ST_Fits,0.06876,1.172,0,-0.00479,1980.5,2014.2,172,,,,1.298318502,0
KCC_human,44/3_Human_Induced,0.07200,1.021,20,-0.00002,1983.9,2009.7,124,,,,1.219734343,8
eROF_tot,44/3_Human_Induced,0.07383,1.031,39,-0.00004,1987.2,2008.0,175,,,,1.24520271,22
lowess1dt10wnc,43/3_ST_Fits,0.07421,0.988,0,-0.00580,1980.0,2014.0,172,,,,1.075641513,0
lowess2dt20wnc,43/3_ST_Fits,0.07627,1.003,1,-0.00555,1980.0,2014.1,171,,,,1.108036495,1
Bayes_seq_CP,43/2_LT_Fits,0.07638,1.100,0,-0.03116,1989.3,2012.7,126,,,,1.047506998,0
eROF_anthro,44/3_Human_Induced,0.07794,0.915,25,-0.00004,1987.1,2008.0,175,,,,1.108319697,11
cubic_spline,43/4_GAM_AR1,0.07935,1.114,0,-0.00466,1980.0,2015.1,145,,,,1.213570665,0
GWI_anthro_orig,44/3_Human_Induced,0.08049,1.119,0,0.00002,1982.4,2008.7,74,,,,1.119075059,0
removeMEI_cons,43/6_Remove_IV,0.08188,0.630,4,0.00524,1979.9,2008.7,152,,,,0.649770285,4
OLS_refit_CO2forc,44/0_Linear,0.08642,-3.842,59,-0.01811,1985.5,2012.2,175,,,,0.952567867,28
offset11y,43/1_Run_Means,0.09200,0.999,62,0.07450,1982.6,2009.9,165,,,,1.200043801,27
min_month_proj,43/3_ST_Fits,0.09458,1.026,1,0.02113,1979.7,2009.5,156,,,,1.22835407,1
KCC_all,44/3_Human_Induced,0.09746,0.968,4,0.00003,1988.0,2011.0,124,,,,1.111295713,4
raw1y,43/1_Run_Means,0.09798,0.898,1,-0.00538,1979.5,2009.5,175,,,,0.928571195,0
lfca_SST,43/6_Remove_IV,0.09800,0.926,0,-0.05228,1989.2,2014.7,77,,,,0.926461991,0
quartic,43/2_LT_Fits,0.09906,0.992,0,-0.06507,1989.5,2009.5,75,,,,0.99181221,0
cons_hArrh_CO2forc,44/0_Linear,0.10426,-85.493,89,0.07524,1978.4,2009.1,175,,,,1.018419983,34
removeMEI_volc_refit,43/6_Remove_IV,0.11195,0.804,0,0.00909,1985.5,2006.6,45,,,,0.803881728,0
OLS_refit,43/2_LT_Fits,0.13422,0.561,0,-0.03125,1989.7,2022.5,75,,,,0.56120748,0
