method_name,method_class,#q<0.5,100#q<0.5,log-likeli,100log-l,RMS,bias,cross_year0.5,cross_year1.0,#yrs
FaIR_nonat_unB,44/1_ERF_FaIR,3,3,2.282530298090326,2.282530298090326,0.025336722815633626,2.5297810522439955e-05,1985.4166666666526,2010.833333333319,93
FaIR_anthro_unB,44/1_ERF_FaIR,1,1,2.2549338680018374,2.2549338680018374,0.025889129670871844,-0.0005615034940732322,1984.249999999987,2011.2499999999852,93
FaIR_nonat,44/1_ERF_FaIR,0,0,2.198402015798706,2.1984020157987056,0.02752952943572028,-0.010700772596132259,1985.9166666666522,2011.4166666666517,93
FaIR_comb_unB,44/1_ERF_FaIR,1,1,2.157651946212937,2.157651946212937,0.02773179724949869,-0.008113360376760793,1986.2499999999852,2010.2499999999861,89
FaIR_anthro,44/1_ERF_FaIR,0,0,2.100948339820599,2.100948339820599,0.0300899526145164,-0.01544110668530955,1985.0833333333196,2011.9999999999845,93
lag5y,43/1_Run_Means,0,0,1.3444201930238509,1.332944412807801,0.056289359122525466,-0.018023557195161292,1985.6666666666524,2014.416666666649,171
lag10y,43/1_Run_Means,0,0,1.2226292796999096,1.1079639548854094,0.06086923403561831,-0.03263084911129033,1988.2499999999834,2016.0833333333142,166
FaIR_all_unB,44/1_ERF_FaIR,3,3,1.3212707993537038,1.3212707993537038,0.06289838693292497,-6.714479514268603e-05,1987.3333333333176,2007.3333333333221,93
FaIR_all,44/1_ERF_FaIR,4,4,1.3259836442597492,1.3259836442597492,0.06371813238572273,0.010037657078451815,1986.6666666666515,2006.7499999999893,93
offset11y,43/1_Run_Means,62,27,0.998702065173669,1.2000438007072196,0.09200105420515178,0.07449633647756598,1983.0833333333214,2009.6666666666533,165
raw1y,43/1_Run_Means,1,0,0.8982801229944948,0.9285711950448856,0.09798169412379792,-0.00537672376290323,1984.249999999987,2010.9166666666522,175
