experiment,approach,firstcross1,firstcross2,firstcross5,kl,kl75,ncrosses,rmse,rmse75
fut_ESM1-2-LR_SSP126_constVolc,inverse_variance,0.2336768722522841,0.4389972969605618,0.7970923006380844,0.4861839075712436,0.5257899370016673,1.42,0.03540272331719664,0.035259776409869034
fut_ESM1-2-LR_SSP126_constVolc,sharpened_blended,0.20486529165544867,0.3934812448526566,0.7765867937622151,0.545204775565264,0.0,1.26,0.03468297949294262,0.03394309981532457
fut_ESM1-2-LR_SSP245_constVolc,inverse_variance,0.5331147785444036,0.8257590640179628,0.9903308801861105,0.3530026567531586,0.3476050924130292,1.04,0.0320530702968635,0.03057914211322874
fut_ESM1-2-LR_SSP245_constVolc,sharpened_blended,0.5653706334756744,0.839058993565282,0.9915307126759695,0.464249882919037,0.0,1.06,0.03178574246300475,0.029681307711223095
fut_ESM1-2-LR_SSP370_constVolc,inverse_variance,0.5721081833098145,0.8686799120353906,0.9999996425465144,0.2916250906247592,0.23368006052577983,1.06,0.03581259325924394,0.03344100197873204
fut_ESM1-2-LR_SSP370_constVolc,sharpened_blended,0.5397627763945967,0.8427124873857692,0.9999857180472835,0.3511454058557847,0.0,1.06,0.03717696615079923,0.03349597989788829
fut_NorESM_RCP45_Volc,inverse_variance,0.3071399959624048,0.5604295584597686,0.8852462465343292,0.6754095765122116,0.7093420677324536,1.15,0.0515004013389076,0.05254970574021265
fut_NorESM_RCP45_Volc,sharpened_blended,0.32987195245391476,0.5953980012139879,0.9120964826705857,0.746164347389488,0.0,1.0666666666666667,0.049149588147232574,0.05082975645225136
fut_NorESM_RCP45_VolcConst,inverse_variance,0.5607138633744576,0.8812043670104561,0.9999995420435407,0.4184064225935163,0.43675084211127735,1.0166666666666666,0.02945659678268897,0.028747450322725684
fut_NorESM_RCP45_VolcConst,sharpened_blended,0.5315408746094664,0.8646467164133057,0.9999981246911349,0.5656446245621735,0.0,1.0,0.029527899906604958,0.029376498435213925
